"make","model","model_year","registered_vehicle"
"TESLA","MODEL Y",2024,"44038"
"TESLA","MODEL 3",2024,"32520"
"NISSAN","LEAF",2025,"13606"
"TESLA","MODEL S",2024,"7795"
"CHEVROLET","BOLT EV",2023,"6780"
"TESLA","MODEL X",2024,"6239"
"CHEVROLET","VOLT",2019,"4815"
"VOLKSWAGEN","ID.4",2024,"4716"
"FORD","MUSTANG MACH-E",2024,"4363"
"JEEP","WRANGLER",2024,"4116"
"KIA","NIRO",2024,"3765"
"CHRYSLER","PACIFICA",2024,"3738"
"HYUNDAI","IONIQ 5",2024,"3265"
"TOYOTA","RAV4 PRIME",2024,"3171"
"TOYOTA","PRIUS PRIME",2024,"3109"
"RIVIAN","R1S",2025,"3059"
"CHEVROLET","BOLT EUV",2023,"2799"
"KIA","EV6",2024,"2757"
"BMW","X5",2025,"2587"
"FORD","F-150",2024,"2387"
"RIVIAN","R1T",2025,"2051"
"BMW","I3",2021,"1918"
"VOLVO","XC90",2025,"1766"
"FORD","FUSION",2020,"1757"
"FORD","C-MAX",2017,"1459"
"BMW","I4",2024,"1418"
"JEEP","GRAND CHEROKEE",2024,"1385"
"VOLVO","XC60",2025,"1371"
"SUBARU","SOLTERRA",2024,"1340"
"POLESTAR","PS2",2024,"1171"
"VOLVO","XC40",2024,"1171"
"NISSAN","ARIYA",2024,"1115"
"BMW","IX",2025,"1080"
"VOLKSWAGEN","E-GOLF",2019,"1067"
"AUDI","E-TRON",2023,"1066"
"HYUNDAI","KONA ELECTRIC",2025,"997"
"MITSUBISHI","OUTLANDER",2024,"979"
"TOYOTA","BZ4X",2024,"967"
"AUDI","Q5 E",2024,"946"
"TOYOTA","PRIUS PLUG-IN",2015,"945"
"HONDA","CLARITY",2021,"852"
"KIA","SPORTAGE",2025,"830"
"KIA","EV9",2024,"824"
"MINI","HARDTOP",2024,"810"
"FIAT","500",2019,"780"
"RIVIAN","EDV",2024,"773"
"CADILLAC","LYRIQ",2024,"742"
"TESLA","CYBERTRUCK",2024,"738"
"PORSCHE","TAYCAN",2025,"719"
"MAZDA","CX-90",2025,"717"
"KIA","SORENTO",2025,"696"
"DODGE","HORNET",2024,"682"
"AUDI","A3",2018,"567"
"HYUNDAI","IONIQ 6",2024,"513"
"BMW","330E",2024,"505"
"VOLVO","C40",2024,"473"
"FORD","ESCAPE",2024,"469"
"HONDA","PROLOGUE",2024,"469"
"FORD","TRANSIT",2024,"465"
"AUDI","Q4",2023,"439"
"BMW","530E",2023,"433"
"HYUNDAI","TUCSON",2024,"422"
"AUDI","Q8",2024,"422"
"MERCEDES-BENZ","EQB-CLASS",2024,"403"
"PORSCHE","CAYENNE",2024,"397"
"KIA","SOUL",2016,"387"
"MERCEDES-BENZ","EQE-CLASS SUV",2024,"386"
"CHEVROLET","BLAZER EV",2024,"386"
"LEXUS","RZ",2024,"371"
"BMW","X3",2021,"330"
"LEXUS","NX",2025,"319"
"LUCID","AIR",2024,"304"
"HYUNDAI","IONIQ",2022,"300"
"MERCEDES-BENZ","EQS-CLASS SUV",2024,"287"
"CHEVROLET","SPARK",2016,"243"
"HYUNDAI","SANTA FE",2023,"238"
"JAGUAR","I-PACE",2024,"237"
"HYUNDAI","KONA",2020,"233"
"FORD","FOCUS",2018,"229"
"MERCEDES-BENZ","EQS-CLASS SEDAN",2024,"229"
"MINI","COUNTRYMAN",2025,"219"
"KIA","SOUL EV",2019,"217"
"MERCEDES-BENZ","GLC-CLASS",2020,"206"
"CHEVROLET","EQUINOX EV",2024,"204"
"GENESIS","GV60",2024,"195"
"CHEVROLET","SILVERADO EV",2024,"192"
"LINCOLN","AVIATOR",2023,"186"
"MERCEDES-BENZ","GLE-CLASS",2024,"181"
"FISKER","OCEAN",2023,"175"
"AUDI","E-TRON SPORTBACK",2022,"174"
"VOLVO","S60",2025,"173"
"AUDI","E-TRON GT",2024,"149"
"MERCEDES-BENZ","EQE-CLASS SEDAN",2024,"148"
"PORSCHE","PANAMERA",2023,"142"
"AUDI","Q5",2022,"142"
"BMW","I5",2025,"136"
"SMART","FORTWO ELECTRIC DRIVE",2015,"134"
"GMC","HUMMER EV SUV",2025,"127"
"LINCOLN","CORSAIR",2024,"122"
"KIA","OPTIMA",2020,"100"
"LEXUS","RX",2024,"100"
"BMW","I8",2019,"92"
"MERCEDES-BENZ","B-CLASS",2017,"88"
"ALFA ROMEO","TONALE",2024,"84"
"CADILLAC","ELR",2016,"79"
"VOLVO","V60",2025,"79"
"HYUNDAI","SONATA",2019,"79"
"GENESIS","GV70",2025,"69"
"SUBARU","CROSSTREK",2019,"66"
"ACURA","ZDX",2024,"61"
"MITSUBISHI","I-MIEV",2017,"57"
"SMART","FORTWO",2017,"57"
"TOYOTA","RAV4",2014,"56"
"SMART","EQ FORTWO",2019,"55"
"TESLA","ROADSTER",2011,"49"
"BMW","I7",2024,"48"
"LAND ROVER","RANGE ROVER SPORT",2024,"48"
"AUDI","RS E-TRON GT",2024,"42"
"GMC","HUMMER EV PICKUP",2025,"40"
"VOLVO","S90",2024,"36"
"MAZDA","CX-70",2025,"34"
"BMW","740E",2019,"30"
"LAND ROVER","RANGE ROVER",2024,"24"
"FIAT","500E",2024,"23"
"HYUNDAI","IONIQ 5 N",2025,"21"
"MERCEDES-BENZ","C-CLASS",2018,"19"
"GENESIS","G80",2024,"17"
"AUDI","SQ8",2024,"16"
"MERCEDES-BENZ","S-CLASS",2024,"16"
"BMW","XM",2024,"14"
"FISKER","KARMA",2012,"13"
"BMW","745E",2021,"12"
"LEXUS","TX",2024,"11"
"AUDI","A7 E",2021,"11"
"CADILLAC","CT6",2018,"11"
"HONDA","ACCORD",2014,"11"
"MAZDA","MX-30",2023,"10"
"FORD","RANGER",2000,"9"
"HONDA","CR-V",2013,"6"
"TH!NK","CITY",2011,"5"
"AZURE DYNAMICS","TRANSIT CONNECT ELECTRIC",2011,"4"
"VOLVO","EX40",2025,"4"
"MERCEDES-BENZ","ESPRINTER",2024,"3"
"BENTLEY","BENTAYGA",2024,"3"
"AUDI","A8 E",2020,"3"
"WHEEGO ELECTRIC CARS","WHEEGO",2010,"3"
"RAM","PROMASTER 3500",2024,"2"
"BENTLEY","FLYING SPUR",2022,"2"
"ROLLS-ROYCE","SPECTRE",2024,"2"
"BMW","750E",2024,"2"
"BMW","745LE",2022,"2"
"PORSCHE","918",2015,"1"
"VINFAST","VF 8",2023,"1"
